abajur	lamp
abartili	exaggerated
abartılı	exaggerated
abiye	evening dress
abla	older sister
abone	subscriber
acemi	beginner
aci biber	hot pepper
acik	open
acik hava	outdoor
acil	emergency
acil durum	emergency
acilis	opening ceremony
aciliyet	urgency
acim	angle
acı	bitter
acı biber	hot pepper
ada	island
adam	man
adim	step
adım	step
afet	disaster
agabey	older brother
agac	tree
aglayan	crying
ahsap	wood
ahtapot	octopus
ahşap	wood
aile	family
aile fotografi	family photo
aile fotoğrafı	family photo
aile resmi	family photo
aile toplantisi	family gathering
aile toplantısı	family gathering
ajan	agent
ajanda	planner
ak	white
akarsu	stream
akarsı	stream
akasya	acacia
akdeniz	mediterranean
aksam	evening
aksam yemegi	dinner
aksesuar	accessory
aksesuvar	accessory
aktor	actor
aktris	actress
aktör	actor
akvaryum	aquarium
akşam	evening
akşam yemeği	dinner
alaca	mixed color
alan	field
alay	parade
alev	flame
alez	oilcloth
alin	forehead
alis	purchase
alisveris	shopping
altigen	hexagonal
altıgen	hexagonal
altın	gold
aluminyum	aluminum
alüminyum	aluminum
alın	forehead
alışveriş	shopping
alışveriş merkezi	shopping mall
aman	exclamation
ambalaj	packaging
ambulans	ambulance
amca	uncle
amca kızı	female cousin
amfi	amphitheater
amfitiyatro	amphitheater
anahtar	key
anaokulu	kindergarten
anit	monument
anne	mother
anne baba	parents
antik	ancient
antika	antique
anıt	monument
apartman	apartment building
araba	car
arac	vehicle
arazi	terrain
araç	vehicle
ardic	juniper
ardıç	juniper
ari	bee
arka	back
arka plan	background
arkadas	friend
arkadaş	friend
arkeoloji	archaeology
arma	emblem
armut	pear
arpa	barley
arsiv	archive
art deko	art deco
artemis	artemis
arı	bee
arşiv	archive
asabi	irritable
asci	chef
asker	soldier
aski	hanger
askı	hanger
aslan	lion
asma	vine
asma kopru	suspension bridge
asma köprü	suspension bridge
astronot	astronaut
asçı	chef
at	horse
ata	ancestor
atas	bonfire
ateş	fire
atik	agile
atlet	athlete
atletizm	athletics
atmosfer	atmosphere
avize	chandelier
avlu	courtyard
avukat	lawyer
ay	moon
ayak	foot
ayak bileği	ankle
ayakkabi	shoes
ayakkabilik	shoe rack
ayakkabı	shoes
ayakkabılık	shoe rack
aycicegi	sunflower
aydinlatma	lighting
aydınlatma	lighting
aygir	stallion
ayi	bear
ayla	moonlight
ayna	mirror
ayran	ayran
ayçiçeği	sunflower
ayı	bear
az	few
açık	open
açık hava	outdoor
açılış	opening ceremony
ağabey	older brother
aşçı	cook
baba	father
bacak	leg
badem	almond
badminton	badminton
bag	vineyard
bagaj	luggage
baharat	spice
bahce	garden
bahçe	garden
bahçıvan	gardener
bakici	caretaker
bakir	copper
bakkal	grocery store
baklava	baklava
baklavaci	baklava shop
bakıcı	caretaker
bakış	gaze
bal	honey
baldiz	sister-in-law
baldız	sister-in-law
balik	fish
balik tutma	fishing
balikci	fisherman
balikcilik	fishing
balkon	balcony
balo	ball
balon	balloon
baloncu	balloon seller
balık	fish
balık tutma	fishing
balıkçı	fisherman
balıkçılık	fishing
bambu	bamboo
bamya	okra
banka	bank
banko	counter
banliyo	suburb
banliyö	suburb
banyo	bathroom
banyo yapma	bathing
bar	bar
bardak	cup
baret	helmet
barok	baroque
basamak	step
basketbol	basketball
basma	print
basımevi	printing house
bat	west
bataklik	swamp
bataklık	swamp
batik	batik
bavul	suitcase
bayrak	flag
bayram	holiday
bebek	baby
beden	body
bedesten	covered bazaar
bej	beige
bel	waist
belediye	municipality
benekli	spotted
berber	barber
bere	beret
beslenme	nutrition
beton	concrete
betonarme	reinforced concrete
beyaz	white
beyti	beyti kebab
biber	pepper
bicak	knife
biftek	steak
bikini	bikini
bikkin	bored
bilardo	billiards
bildircin	quail
bilek	wrist
bileklik	bracelet
bilet	ticket
bilezik	bangle
bilgi	information
bilgisayar	computer
bina	building
binicilik	horseback riding
bira	beer
birahane	pub
bisiklet	bicycle
bitki	plant
bizon	bison
bluz	blouse
bocek	insect
bodrum	basement
boga	bull
bogaz	strait
bohca	bundle
bok	deep color
boks	boxing
bordo	burgundy
borek	borek
borsa	stock exchange
boru	pipe
bos	empty
bostan	garden
bot	boot
boy	height
boya	paint
boyali	painted
boyama	coloring
boyun	neck
boyunluk	scarf
bozkir	steppe
boğa	bull
boğaz	strait
bronz	bronze
bros	brooch
broş	brooch
bufe	buffet
bugday	wheat
buhardanlık	censer
bukalemun	chameleon
buket	bouquet
bulanik	blurry
bulasik	dish
bulasik yikama	dishwashing
bulaşık yıkama	dishwashing
bulgur	bulgur
bulmaca	puzzle
bulut	cloud
bulutlu	cloudy
bulvar	boulevard
burun	nose
burusuk	wrinkled
buruşuk	wrinkled
buz	ice
buzdag	iceberg
buzdagi	iceberg
buzdolabi	refrigerator
buzdolabı	refrigerator
buzul	glacier
buğday	wheat
böcek	insect
börek	borek
büfe	buffet
büyük	big
büyükanne	grandmother
büyükbaba	grandfather
büyüteç	magnifying glass
bıkkın	bored
bıldırcın	quail
bıçak	knife
cacik	cacik
cacık	cacik
cadde	street
caddee	street
cadir	tent
cafe	cafe
caglayan	rapids
cakal	jackal
cam	glass
camasir	laundry
camasir makinesi	washing machine
cami	mosque
camii	mosque
carsi	bazaar
casino	casino
catal	fork
cati	roof
caydanlik	teapot
cayir	meadow
ceket	jacket
cekic	hammer
cekingen	shy
celik	steel
cenaze	funeral
cene	chin
cerceve	frame
cerez	snack
cerrah	surgeon
cesaretli	brave
cesme	fountain
ceviz	walnut
cevre	environment
ceylan	gazelle
cicek	flower
cicekci	florist
cift	couple
ciftci	farmer
cig kofte	raw meatball
cigara	cigarette
cikis	exit
cikolata	chocolate
cilali	polished
cilalı	polished
cilek	strawberry
cim	grass
cin	jin
cinar	plane tree
cit	fence
cita	cheetah
civi	nail
cizgili	striped
cizim	drawing
cizme	boot
ciçek	flower
coban	shepherd
cocuk	child
cografi	geographical
cografya	geography
col	desert
corap	sock
corba	soup
coskulu	enthusiastic
coşkulu	enthusiastic
cukur	pit
cumba	bay window
cumhuriyet	republic
cuval	sack
cuzdan	wallet
dag yuruyusu	mountain hiking
dalgin	absent-minded
dalgın	absent-minded
dam	roof
damat	groom
damla	drop
dans	dancing
dans pisti	dance floor
dar	narrow
darbe	hit
darphane	mint
davet	invitation
davetli	guest
dayi	maternal uncle
dayı	maternal uncle
dağ yürüyüşü	mountain hiking
dede	grandfather
defne	laurel
defter	notebook
dehset	horror
dehşet	horror
dekonstrüktivizm	deconstructivism
dekor	decor
dekorasyon	decoration
deli	crazy
deneme	trial
deniz	sea
deniz anasi	jellyfish
deniz feneri	lighthouse
deniz kabugu	seashell
denizalti	submarine
denizaltı	submarine
denizanasi	jellyfish
denizci	sailor
denizkizi	mermaid
depo	warehouse
dere	creek
dergi	magazine
deri	leather
ders	class
desen	pattern
desenli	patterned
deve	camel
devekusu	ostrich
deveküşü	ostrich
dikim	sewing
dikis	sewing
dikiş	sewing
dikkatli	attentive
dingin	serene
direksiyon	steering wheel
direkt	direct
dirsek	elbow
dis	tooth
dis hekimi	dentist
disko	disco
divan	divan
diz	knee
dizüstü	laptop
diş hekimi	dentist
doga	nature
doga yuruyusu	nature walk
dogal	natural
dogum gunu	birthday
doktor	doctor
dokuma	weaving
dolap	cabinet
dolma	dolma
dolmus	shared taxi
dolmuş	shared taxi
domates	tomato
domuz	pig
dondurma	ice cream
doner	doner kebab
donme dolap	ferris wheel
donut	donut
doruk	peak
doğa	nature
doğa yürüyüşü	nature walk
doğal	natural
doğum	birth
doğum günü	birthday
dudak	lip
dugun	wedding
dugun fotografi	wedding photo
dugun pastasi	wedding cake
dugun salonu	wedding hall
dur	stop
durak	station
durum	situation
dus	shower
dusunceli	thoughtful
duvar	wall
duvar kagidi	wallpaper
duvar kağıdı	wallpaper
döner	doner kebab
dönme dolap	ferris wheel
dügün	wedding
dünya	world
dürbün	binoculars
dürüm	wrap
düz	flat
düğün	wedding
düğün fotoğrafı	wedding photo
düğün pastası	wedding cake
düğün salonu	wedding hall
düşünceli	thoughtful
eczaci	pharmacist
eczacı	pharmacist
eczane	pharmacy
edebiyat	literature
eflatun	lilac
eglence	entertainment
egzersiz	exercise
ejderha	dragon
ekmek	bread
ekose	plaid
el	hand
el arabasi	wheelbarrow
el işi	handmade
elbise	dress
eldiven	glove
elektrik	electricity
elma	apple
elma suyu	apple juice
elti	co-sister-in-law
endiseli	worried
endişeli	worried
endüstriyel	industrial
engin	vast
eniste	brother-in-law
enişte	brother-in-law
enstantane	snapshot
er	soldier
erbap	expert
ergen	teenager
erik	plum
erkek	man
erkek kardes	brother
erkek kardeş	brother
esek	donkey
eski	old
esnaf	tradesman
esya	belongings
et	meat
etek	skirt
eteklik	skirt
ev	house
eğlence	entertainment
eşarp	headscarf
eşek	donkey
eşya	belongings
fabrika	factory
fal	fortune telling
fan	fan
fantezi	fantasy
far	headlight
fare	mouse
fark	difference
fasulye	bean
fauna	fauna
fener	lantern
feribot	ferry
fes	fez
feslegen	basil
fesleğen	basil
festival	festival
fil	elephant
film	film
fincam	cup
fincan	cup
findik	hazelnut
firca	brush
firin	oven
fistik	pistachio
fiyonk	bow
flamingo	flamingo
flora	flora
floresan	fluorescent
fokur	bubbling
fon	backdrop
fondöten	foundation
forma	uniform
fotograf	photograph
fotograf makinesi	camera
fotografci	photographer
fotografcilik	photography
fotoğraf	photograph
fotoğraf makinesi	camera
fotoğrafçı	photographer
fotoğrafçılık	photography
fusya	fuchsia
futbol	soccer
fuşya	fuchsia
fındık	hazelnut
fırça	brush
fırın	oven
fıstık	pistachio
garson	waiter
gazete	newspaper
gazeteci	journalist
gece	night
gece gorunumu	night view
gece görünümü	night view
gece hayati	nightlife
gece hayatı	nightlife
gecekondı	shantytown
gecelik	nightgown
gecit	passage
gelin	bride
gelin duvagi	bridal veil
gelin duvağı	bridal veil
gelincik	poppy
gemi	ship
genc	young
genel	general
geniş	wide
genç	young
geometrik	geometric
gergedan	rhinoceros
gergin	tense
geyik	deer
gezgin	traveler
gezi	trip
gezi rehberi	tour guide
geçit	passage
gida	food
giris	entrance
giyim	clothing
giysi	garment
gobek	belly
gokyuzu	sky
gol	goal
golet	pond
golge	shadow
gomlek	shirt
gorumce	sister-in-law
gotik	gothic
govde	torso
gozluk	glasses
goç	migration
grafik	graphic
granit	granite
gri	gray
grill	grill
grup	group
gul	rose
gulab	rosewater
gulumseyen	smiling
gumruk	customs
gumus	silver
gumusi	silvery
gun batimi	sunset
gun dogumu	sunrise
gunduz	daytime
gunes	sun
gures	wrestling
gururlu	proud
guvercin	pigeon
gökyüzü	sky
göl	lake
gölet	pond
gölge	shadow
gömlek	shirt
gömlekli	shirt-wearing
gönüllü	volunteer
görev	duty
görümce	sister-in-law
gösteri	show
gösterici	protester
gövde	torso
göz	eye
gözleme	pancake
gözlük	glasses
gözlüklü	bespectacled
göç	migration
göçmen	migrant
güherçile	saltpeter
gül	rose
gülen	laughing
güller	roses
gülümseyen	smiling
gümrük	customs
gümüş	silver
gümüşi	silvery
gün	day
gün batımı	sunset
gün doğumu	sunrise
gündoğumu	sunrise
gündüz	daytime
güneş	sun
güneş gözlüğü	sunglasses
güneşli	sunny
güreş	wrestling
güvercin	pigeon
güzel	beautiful
güç	power
hafif	light
hafta	week
haki	khaki
hala	paternal aunt
hali	carpet
halka	ring
halter	weightlifting
halı	carpet
hamak	hammock
hamam	bathhouse
hamburger	hamburger
hamster	hamster
hamur	dough
hamur isi	pastry
hamur işi	pastry
han	inn
handikap	handicap
hane	household
hangar	hangar
harabe	ruin
hardal	mustard
harita	map
harman	harvest
hasir	straw mat
hastane	hospital
hasır	straw mat
hatira	souvenir
hatira fotografi	souvenir photo
hatmi	hollyhock
hatıra	souvenir
hatıra fotoğrafı	souvenir photo
hava	weather
havaalani	airport
havaalanı	airport
havai fisek	fireworks
havaifişek	fireworks
havalimani	airport
havalimanı	airport
havayolu	airline
havlu	towel
havra	synagogue
havuc	carrot
havuz	pool
havuç	carrot
hayal kırıklığı	disappointment
hayvan	animal
hayvanat bahcesi	zoo
hayvanat bahçesi	zoo
hediyelik	souvenir
helikopter	helicopter
helva	halva
hemsire	nurse
hemşire	nurse
heyecan	excitement
heyecanli	excited
heyecanlı	excited
heykel	statue
heykeltraş	sculptor
hikaye	story
hindi	turkey
hirka	cardigan
hisar	fortress
hobi	hobby
hokey	hockey
hoparlor	speaker
hoparlör	speaker
horoz	rooster
hostes	stewardess
hurma	date
huzunlu	melancholic
huzur	peace
hücre	cell
hüzünlü	melancholic
hırdavat	hardware
hırka	cardigan
ibadethane	place of worship
iftar	iftar
igloo	igloo
igne	needle
igrenmis	disgusted
iguana	iguana
ihlamur	linden tea
ikiz	twins
ilac	medicine
ilkbahar	spring
imam	imam
imbik	alembic
inci	pearl
indigo	indigo
inek	cow
ingiliz anahtari	wrench
ingiliz anahtarı	wrench
insaat	construction
insan	person
insanlar	people
inşaat	construction
ip	rope
ipek	silk
irmak	river
is merkezi	business center
isci	worker
iskele	pier
iskelet	skeleton
iskender	iskender kebab
islak	wet
ispanak	spinach
istakoz	lobster
istasyon	station
istiridye	oyster
italyan	italian
itfaiye	fire department
itfaiyeci	firefighter
iz	trace
izci	scout
izlenim	impression
iğne	needle
iğrenmiş	disgusted
iş merkezi	business center
işçi	worker
japon	japanese
jarse	jersey
jilet	razor
jimnastik	gymnastics
jokey	jockey
kaba	rough
kabak	squash
kabarcikli	bubbly
kabarcıklı	bubbly
kabin	cabin
kabuk	shell
kacak	fugitive
kadayif	kadayif
kadayıf	kadayif
kadife	velvet
kadin	woman
kadın	woman
kafe	cafe
kafes	cage
kagit	paper
kahraman	hero
kahvalti	breakfast
kahvaltı	breakfast
kahvaltı yapma	having breakfast
kahve	coffee
kahverengi	brown
kaktus	cactus
kaktüs	cactus
kalabalik	crowd
kalabalık	crowd
kalca	hip
kale	castle
kalem	pen
kalça	hip
kalın	thick
kamera	camera
kamp	camp
kamp atesi	campfire
kamp ateşi	campfire
kamp yeri	campsite
kampanya	campaign
kamyon	truck
kanal	canal
kanat	wing
kanepe	sofa
kangal	kangal
kanguru	kangaroo
kano	canoe
kapak	cover
kapi	door
kaplan	tiger
kaptan	captain
kapı	door
kar	snow
kara	dark
karanfil	carnation
karanlik	dark
karanlık	dark
karavan	caravan
kardelen	snowdrop
kardes	sibling
kardeş	sibling
kare	square
kare format	square format
kareli	checkered
karikatür	caricature
karin	abdomen
karinca	ant
kariyer	career
karnaval	carnival
karpuz	watermelon
kartal	eagle
karton	cardboard
karusel	carousel
karın	abdomen
karınca	ant
kas	muscle
kasa	safe
kasap	butcher
kase	bowl
kasik	spoon
kasket	cap
kasım	November
kat	floor
katar	caravan
katedral	cathedral
kaya	rock
kayak	skiing
kayalik	rocky
kayalık	rocky
kaygan	slippery
kayik	boat
kayin	in-law
kayinpeder	father-in-law
kayisi	apricot
kaynak	source
kayık	boat
kayın	in-law
kayınpeder	father-in-law
kayısı	apricot
kaz	goose
kazak	sweater
kağıt	paper
kaş	eyebrow
kaşık	spoon
kebap	kebab
keci	goat
kederli	sorrowful
kedi	cat
kek	cake
kelebek	butterfly
keman	violin
kemer	belt
kemerli	arched
kent	city
kereste	lumber
kermes	fair
kertenkele	lizard
kervansaray	caravansaray
keser	axe
kesif	discovery
kestane	chestnut
keten	linen
keçi	goat
kilic	sword
kilim	rug
kilise	church
kina	henna
kir cicegi	wildflower
kiraz	cherry
kirmizi	red
kirpik	eyelash
kirsal	rural
kis	winter
kisi	person
