abajur	lamp
kisir	bulgur salad
kiskanclık	jealousy
kiyafet	outfit
kiyi	shore
kiz kardes	sister
kişi	person
klasik	classic
klup	club
klüp	club
koala	koala
kocaman	huge
kofte	meatball
kokorec	kokorec
kol	arm
koleksiyon	collection
kolon	column
koltuk	armchair
kolye	necklace
komidin	nightstand
komik	funny
komodin	nightstand
komsu	neighbor
komur	charcoal
komşu	neighbor
konak	mansion
konaklama	accommodation
konferans	conference
konser	concert
konteyner	container
kontrast	contrast
konut	residence
kopek	dog
kopekbaligi	shark
kopru	bridge
kopuk	foam
kordon	cord
koridor	corridor
koridorda	in the corridor
korkmus	scared
korkmuş	scared
korku	fear
korna	horn
koruma	protection
koruyucu	protective
kose	corner
kosk	pavilion
kosma	running
kosu	jogging
kovboy	cowboy
koy	cove
koyu	dark
koyun	sheep
koz	walnut
kozmetik	cosmetics
koç	ram
koşma	running
koşu	race
kravat	tie
krema	cream
kremit	terracotta
kristal	crystal
krom	chrome
kuafor	hairdresser
kuaför	hairdresser
kubbe	dome
kucak	lap
kugu	swan
kulak	ear
kulaklik	headphones
kulaklık	headphones
kule	tower
kultur	culture
kulube	hut
kulübe	hut
kum	sand
kuma	concubine
kumas	fabric
kumaş	fabric
kumlu	sandy
kumsal	sandy beach
kumul	sand dune
kunduz	beaver
kunefe	kunefe
kupa	trophy
kupe	earring
kura	draw
kurabiye	cookie
kurbaga	frog
kurbağa	frog
kure	globe
kurk	fur
kurt	wolf
kuru	dry
kuru fasulye	dried beans
kuruluş	establishment
kurum	institution
kurumuş	dried
kus	bird
kutlama	celebration
kutu	box
kutup	pole
kutuphane	library
kuvvet	force
kuzen	cousin
kuzey	north
kuzu	lamb
kuğu	swan
kuş	bird
köfte	meatball
kömür	charcoal
köpek	dog
köpekbalığı	shark
köprü	bridge
köpük	foam
köy	village
köşe	corner
köşk	pavilion
kültür	culture
künefe	kunefe
küpe	earring
küre	globe
kürk	fur
kütüphane	library
kıl	hair
kılıç	sword
kına	henna
kır çiçeği	wildflower
kırmızı	red
kırsal	rural
kıskançlık	jealousy
kısır	bulgur salad
kıyafet	outfit
kıyı	shore
kız kardeş	sister
kış	winter
lacivert	navy blue
laden	rockrose
lahmacun	lahmacun
lale	tulip
lamba	lamp
lavabo	sink
lavanta	lavender
levye	crowbar
leylak	lilac
leylek	stork
leziz	delicious
liman	port
limon	lemon
limonata	lemonade
lokanta	restaurant
lokma	fried dough
lokum	turkish delight
lunapark	amusement park
maden	mine
magara	cave
mahalle	neighborhood
makarna	pasta
makas	scissors
makine	machine
makro	macro
makyaj	makeup
manastir	monastery
manastır	monastery
mandal	clothespin
mango	mango
manikur	manicure
manikür	manicure
manolya	magnolia
mantar	mushroom
manti	manti
mantı	manti
manzara	landscape
marka	brand
market	market
marul	lettuce
masa	table
masal	fairy tale
maske	mask
mat	matte
matkap	drill
mavi	blue
maya	yeast
maymun	monkey
mayo	swimsuit
mağara	cave
mebus	deputy
medeniyet	civilization
meditasyon	meditation
medrese	madrasa
melek	angel
mendil	handkerchief
menekse	violet
menekşe	violet
mentol	menthol
mera	meadow
merakli	curious
meraklı	curious
mercimek	lentil
merdiven	stairs
merdivenli	with stairs
merkez	center
mermer	marble
mescit	small mosque
meslek	profession
metal	metal
metre	measuring tape
metro	subway
meydan	square
meydanlik	plaza
meyve	fruit
meze	appetizer
mezuniyet	graduation
midibüs	midibus
mikrofon	microphone
mikser	mixer
minare	minaret
minder	cushion
minibus	minibus
minibüs	minibus
misafir	guest
mobilya	furniture
moda	fashion
monitor	monitor
monitör	monitor
monokrom	monochrome
mont	coat
mor	purple
mors	walrus
motosiklet	motorcycle
mozaik	mosaic
mucevher	jewelry
muhabir	reporter
muhallebi	pudding
muhasebeci	accountant
muhendis	engineer
muhtar	village chief
mum	candle
mumya	mummy
mutevazi	humble
mutfak	kitchen
mutlu	happy
mutsuz	unhappy
muze	museum
muzik	music
muzik calar	music player
muzisyen	musician
mücevher	jewelry
mühendis	engineer
mütevazı	humble
müze	museum
müzik	music
müzik çalar	music player
müzikçi	musician
müzisyen	musician
nakis	embroidery
nakış	embroidery
nane	mint
nar	pomegranate
nefret	hatred
nefti	teal
nehir	river
neoklasik	neoclassical
nergis	daffodil
nese	joy
nesil	generation
neşe	joy
nine	grandmother
ninni	lullaby
nisan	engagement
nisan yuzugu	engagement ring
nişan	engagement
nişan yüzüğü	engagement ring
noel	christmas
nohut	chickpea
noktali	dotted
noktalı	dotted
nostalji	nostalgia
not defteri	notebook
nota	note
numara	number
nur	light
oasis	oasis
ocak	fireplace
oda	room
ofis	office
oglan	boy
ogle	noon
ogrenci	student
ogretmen	teacher
okculuk	archery
okul	school
okuma	reading
okyanus	ocean
okyanıs	ocean
okçuluk	archery
olta	fishing rod
omuz	shoulder
opera	opera
opucuk	kiss
opusme	kissing
ordek	duck
orfoz	grouper
organ	organ
organizasyon	event planning
orgu	knitting
orkide	orchid
orman	forest
ortu	cover
osmanli	ottoman
osmanlı	ottoman
otel	hotel
otobus	bus
otobüs	bus
otomobil	automobile
otopark	parking lot
otoyol	highway
ova	plain
ovaa	plain
oylum	volume
oyma	carving
oyun	game
oyuncak	toy
ozgur	free
oğlan	boy
palet	palette
palmiye	palm tree
palto	overcoat
pamuk	cotton
panda	panda
panik	panic
panorama	panorama
panoramik	panoramic
pansiyon	guesthouse
pantalon	pants
pantolon	trousers
papagan	parrot
papatya	daisy
papağan	parrot
papyon	bow tie
para	money
parasut	parachute
paraşüt	parachute
park	park
parkur	course
parlak	shiny
parmak	finger
parti	party
pasaj	passage
pasaport	passport
pasta	cake
pasta kesme	cake cutting
pasta susleme	cake decorating
pasta süsleme	cake decorating
pastane	bakery
patates	potato
patika	trail
patlican	eggplant
patlıcan	eggplant
patron	boss
pavyon	pavilion
pazar	market
pazarci	vendor
pazarcı	vendor
pecete	napkin
pedal	pedal
pelerin	cloak
pelikan	pelican
pembe	pink
pencere	window
penguen	penguin
pense	pliers
pepe	pepper
peynir	cheese
peyzaj	landscape
peçete	napkin
pide	pide
piknik	picnic
pilastr	pilaster
pilav	rice
pilot	pilot
pipo	pipe
piriltili	sparkling
piriltı	sparkle
pirinc	brass
pirinç	brass
pisi	kitty
pisirme	cooking
piyaz	bean salad
pizza	pizza
pişirme	cooking
plaj	beach
plak	record
plastik	plastic
platform	platform
polis	police
porselen	porcelain
porsuk	badger
porsuık	badger
portakal	orange
portre	portrait
posta	mail
postaci	postman
postacı	postman
poster	poster
prens	prince
prenses	princess
profesyonel	professional
profesör	professor
projektor	projector
projektör	projector
psikoloji	psychology
puantiye	polka dot
puantiyeli	polka dot
puruzlu	rough
pürüzlü	rough
pırıltı	sparkle
raf	shelf
raflar	shelves
rafting	rafting
rahatlama	relief
raki	raki
rakı	raki
ramazan	ramadan
rehber	guide
rengarenk	colorful
renk	color
renkli	colorful
resim	picture
resmi	official
restoran	restaurant
retro	retro
revak	arcade
robot	robot
rokoko	rococo
rota	route
rozet	badge
ruj	lipstick
rus	russian
ruya	dream
ruzgar	wind
rüya	dream
rüzgar	wind
rüzgarlı	windy
saat	clock
sabah	morning
sabahlık	robe
sac	hair
sacak	eave
safak	dawn
safari	safari
sag	right
sahaf	bookshop
sahil	coast
sahne	stage
sakal	beard
sakin	calm
saklama	storage
sal	shawl
salata	salad
salca	sauce
salincak	swing
salon	living room
saltanat	sovereignty
salyangoz	snail
salça	sauce
salıncak	swing
saman	straw
sampanya	champagne
sanat	art
sanatci	artist
sanatçı	artist
sandalye	chair
sandik	chest
sandvic	sandwich
sandviç	sandwich
sandık	chest
sarap	wine
saray	palace
sardunya	geranium
sari	yellow
sarimsak	garlic
sarki	song
sarki soyleme	singing
sarı	yellow
sarımsak	garlic
sasirmis	surprised
saskin	astonished
sato	chateau
savas	war
savaş	war
saz	reed instrument
saç	hair
saçak	eave
sebze	vegetable
sedir	cedar
sef	chef
sehir	city
sehpa	coffee table
selale	waterfall
selam	greeting
selcuklu	seljuk
selfie	selfie
selçuklu	seljuk
sema	sky
semaver	samovar
sembol	symbol
semsiye	umbrella
semt	district
senlik	festival
sera	greenhouse
seramik	ceramics
serce	sparrow
sergi	exhibition
serinlik	coolness
serpme	spread
serçe	sparrow
ses	sound
set	terrace
sevgi	love
sevgili	beloved
sevimli	cute
seyahat	travel
sezlong	lounge chair
siginak	shelter
sihirbaz	magician
siir	poetry
sik	stylish
silah	weapon
siluet	silhouette
silüet	silhouette
simit	simit
sinagog	synagogue
sincap	squirrel
sinek	fly
sinema	cinema
sinirli	nervous
siren	siren
sirk	circus
sis	fog
sise	bottle
sisli	foggy
siyah	black
siyah kravat	black tie
soba	stove
sofa	hall
sofor	driver
sofra	dining table
sogan	onion
soganli	with onion
soguk	cold
sokak	alley
soluk	pale
somine	fireplace
somya	mattress
sonbahar	autumn
sondaj	drilling
sorf	surfing
sort	shorts
sosis	sausage
soğan	onion
soğanlı	with onion
soğuk	cold
spor	sports
su	water
subay	officer
sube	branch
sucuk	sausage
sultan	sultan
sumbul	hyacinth
sunger	sponge
sungur	falcon
sunnet	circumcision ceremony
sunucu	server
supheli	suspicious
supurge	broom
surahi	pitcher
surat	face
surlar	walls
sus	ornament
susen	iris
suslu	ornate
sut	milk
sutlac	rice pudding
sutun	column
suveter	sweater
sörf	surfing
sümbül	hyacinth
sünger	sponge
sünnet	circumcision ceremony
süpürge	broom
sürahi	pitcher
süs	ornament
süsen	iris
süslü	ornate
süt	milk
sütlaç	rice pudding
sütun	column
süveter	sweater
sığınak	shelter
tabak	plate
tablet	tablet
tablo	painting
tabure	stool
tahil	grain
tahta	wood
tahıl	grain
taki	jewelry
takim	set
taksi	taxi
takı	jewelry
takım	set
tanitim	promotion
tantuni	tantuni
tanıtım	promotion
tarak	comb
tarih	history
tarihi	historical
tarla	field
tas	stone
tasarim	design
tasarım	design
tasima	transport
tat	taste
tatil	vacation
tatil koyu	resort
tatil köyü	resort
tatli	dessert
tatlı	dessert
tatmin	satisfaction
tava	pan
tavsan	rabbit
tavuk	chicken
tavuk göğsü	chicken breast pudding
tavus kusu	peacock
tavus kuşu	peacock
tavşan	rabbit
tayt	leggings
taze	fresh
tazi	greyhound
tazı	greyhound
taş	stone
taşıma	transport
tedirgin	uneasy
tekne	boat
telefon	phone
televizyon	television
tencere	pot
tenis	tennis
tepe	hill
tepsi	tray
terapi	therapy
teras	terrace
terazi	scale
terlik	slipper
termos	thermos
tersane	shipyard
terzi	tailor
testere	saw
teyze	maternal aunt
tezgah	counter
timsah	crocodile
tirmanma	climbing
tiyatro	theater
tohum	seed
tonoz	vault
top	ball
toprak	soil
topuk	heel
toren	ceremony
tornavida	screwdriver
torun	grandchild
traktor	tractor
traktör	tractor
tramvay	tram
tren	train
tropikal	tropical
tufek	rifle
tugla	brick
tul	tulle
tunel	tunnel
tur	tour
turbe	tomb
turist	tourist
turizm	tourism
turkuaz	turquoise
turna	crane
turnike	turnstile
turnuva	tournament
turp	radish
tursu	pickle
turta	pie
turşu	pickle
tutku	passion
tutsak	captive
tuy	feather
tuylu	furry
tuz	salt
tuzak	trap
tuğla	brick
tören	ceremony
tüfek	rifle
tül	tulle
tünel	tunnel
türbe	tomb
tüy	feather
tüylü	furry
tırmanma	climbing
ucak	airplane
ucan	flying
ucurtma	kite
ucurum	cliff
ucus	flight
ufuk	horizon
ulu	grand
uluslararasi	international
uluslararası	international
umut	hope
umutlu	hopeful
un	flour
un helvasi	flour halva
un helvası	flour halva
uniform	uniform
utangac	shy
utangaç	shy
utu yapma	ironing
uvey	step
uzak	far
uzay	space
uzgun	sad
uzum	grape
uzun	tall
uçak	airplane
uçan	flying
uçurtma	kite
uçurum	cliff
uçuş	flight
vaadi	valley
vadi	valley
vaha	oasis
vapur	steamboat
varil	barrel
vazo	vase
vestiyer	cloakroom
veteriner	veterinarian
vilayet	province
villa	villa
viski	whiskey
vitray	stained glass
vitrin	showcase
vize	visa
voleybol	volleyball
volkan	volcano
vurgu	emphasis
yag	oil
yagli	oily
yagmur	rain
yagmurlu	rainy
yagmurluk	raincoat
yak	approach
yakin	close
yakin cekim	closeup
yakın	close
yakın çekim	closeup
yali	seaside mansion
yalniz	alone
yalnız	alone
yalı	seaside mansion
yama	patch
yamac	hillside
yamaç	hillside
yanardag	volcano
yanardağ	volcano
yangin	fire
yangın	fire
yanlis	wrong
yanlış	wrong
yapi	structure
yaprak	leaf
yaprak sarma	stuffed grape leaves
yapı	structure
yar	cliff
yarasa	bat
yaris	race
yarisma	competition
yarış	race
yarışma	competition
yasemin	jasmine
yasli	elderly
yastik	pillow
yastık	pillow
yat	yacht
yatak	bed
yatak odasi	bedroom
yatak odası	bedroom
yaya	pedestrian
yayla	plateau
yaz	summer
yazi	writing
yazlik	summer house
yazlık	summer house
yazma	writing
yazı	writing
yağ	oil
yağmur	rain
yağmurlu	rainy
yağmurluk	raincoat
yaşlı	elderly
yaşlılık	old age
yegen	nephew
yelek	vest
yelkenli	sailboat
yemek	food
yemek masasi	dining table
yemek masası	dining table
yemek odasi	dining room
yemek odası	dining room
yemek yapma	cooking
yemyesil	lush green
yeni	new
yer	ground
yeralti	underground
yeraltı	underground
yerleskee	campus
yerli	local
yesil	green
yesillik	greenery
yetistirici	grower
yetiştirici	grower
yeğen	nephew
yeşil	green
yeşillik	greenery
yikinti	ruins
yilan	snake
yilbasi	new year
yildiz	star
yoga	yoga
yogun	dense
yogurt	yogurt
yol	road
yolcu	passenger
yolculuk	journey
yonca	clover
yorgan	quilt
yorgun	tired
yosun	moss
yoğun	dense
yoğurt	yogurt
yufka	phyllo dough
yumurta	egg
yumuşak	soft
yumşak	soft
yun	wool
yunus	dolphin
yunıs	dolphin
yurt	dormitory
yuruyus	walking
yuva	nest
yuvarlak	round
yuz	face
yuzme	swimming
yuzuk	ring
yün	wool
yürüyüş	walking
yüz	face
yüzme	swimming
yüzük	ring
yıkıntı	ruins
yılan	snake
yılbaşı	new year
yıldız	star
zaman	time
zambak	lily
zar	dice
zayif	thin
zayıf	thin
zebra	zebra
zehir	poison
zemin	ground floor
zencefil	ginger
zengin	rich
zerde	saffron dessert
zeytin	olive
zeytinyagi	olive oil
zeytinyağı	olive oil
zimpara	sandpaper
zirh	armor
zirve	summit
ziyafet	feast
ziyaret	visit
ziyaretci	visitor
ziyaretçi	visitor
zuccaciye	glassware
zumrut	emerald
zurafa	giraffe
züccaciye	glassware
zümrüt	emerald
zürafa	giraffe
zürafaa	giraffe
zımpara	sandpaper
zırh	armor
çadır	tent
çakal	jackal
çamaşır	laundry
çamaşır makinesi	washing machine
çatal	fork
çatı	roof
çaydanlık	teapot
çayır	meadow
çağlayan	rapids
çekingen	shy
çekiç	hammer
çelik	steel
çene	chin
çerez	snack
çerçeve	frame
çeşme	fountain
çiftçi	farmer
çikolata	chocolate
çim	grass
çita	cheetah
çizgili	striped
çizim	drawing
çizme	boot
çiçekçi	florist
çiğ köfte	raw meatball
çoban	shepherd
çorba	soup
çöl	desert
çıkış	exit
çınar	plane tree
ödev	homework
öpücük	kiss
öpüşme	kissing
ördek	duck
örgü	knitting
örtü	cover
öğle	noon
öğrenci	student
öğretim üyesi	professor
öğretmen	teacher
ütü yapma	ironing
üvey	step
üzgün	sad
üzüm	grape
ıhlamur	linden tea
ıslık	whistle
ıssız	deserted
ığdır	iguana
şafak	dawn
şal	shawl
şampanya	champagne
şarap	wine
şarkı	song
şarkı söyleme	singing
şato	chateau
şaşkın	astonished
şaşırmış	surprised
şef	chef
şehir	city
şelale	waterfall
şemsiye	umbrella
şenlik	festival
şiir	poetry
şişe	bottle
şoför	driver
şort	shorts
şube	branch
şömine	fireplace
şüpheli	suspicious
şık	stylish
